address,flag,minTimeBetweenSentTnx,maxTimeBetweenSentTnx,avgTimeBetweenSentTnx,minTimeBetweenRecTnx,maxTimeBetweenRecTnx,avgTimeBetweenRecTnx,lifetime,sentTransactions,receivedTransactions,createdContracts,Average_of_numUniqSentAddress,Average_of_numUniqRecAddress,minValSent,maxValSent,avgValSent,minValReceived,maxValReceived,avgValReceived,totalTransactions,totalEtherSent,totalEtherReceived,totalEtherBalance,activityDays,dailyMax,ratioRecSent,ratioSentTotal,ratioRecTotal,giniSent,giniRec,txFreq,stdBalanceEth
0x3818e586fdb26138ec7474a704f8cbb94a36b6fc,0,0,1655128003,11079289.89,0,0,0,79,150,0,0,58,0,0,25,0.907647,0,0,0,150,136.1471074,0,-136.1471074,79,14,0,0.993377483,0,0.65784832,0,1.898734177,37.29998559
0x3819d5006f58499d3494ab178025d107691b0c8e,0,13,380920,31798.03896,2991,1657145513,87343715.26,56,77,19,0,26,10,0,0.2,0.014101,0.0015,0.229818,0.046304,96,1.085800388,0.879773382,-0.206027006,56,13,0.243589744,0.793814433,0.195876289,0.783348706,0.627021006,1.714285714,0.082559498
0x3819f64f282bf135d62168c1e513280daf905e06,0,0,0,0,0,500375,53.430443,7,0,9999,1,0,1246,0,0,0,0,0,0,10000,0,0,0,7,5629,9999,0,0.99980002,0,0,1428.571429,0
0x381b94be319fd260c336204a1fe52ab6bd37f31b,1,130,14349413,727474.5,719,1558785283,779393001,203,24,2,0,2,1,0,0.002748,0.000115,0.008719,0.013072,0.010896,26,0.002748152,0.021791196,0.019043045,17,9,0.08,0.888888889,0.074074074,0.957497137,0.099876582,0.128078818,0.002548036
0x381e840f4ebe33d0153e9a312105554594a98c42,0,0,79105,290.73789,135,1592525876,199087083.8,36,9992,8,0,1,6,0,0,0,1.625052,8.325005,3.874729,10000,0,30.99783077,30.99783077,36,1287,0.00080056,0.99910009,0.00079992,4.45E-17,0.328213402,277.7777778,10.04383703
0x382c11d4a40dbf713e295c687690457772c4e358,0,216,9779305,651558.7763,1498,1563279409,134067969.3,1101,76,12,0,13,7,0,0.041598,0.000547,0.002,0.069942,0.021959,88,0.041597614,0.263511989,0.221914375,87,2,0.155844156,0.853932584,0.134831461,0.986661839,0.352948771,0.079927339,0.066810087
0x382cdf373e45f552ee2d058839883a2c8a931929,1,7,69989372,18690387.67,1793,1521127453,760564623,1298,6,2,0,4,2,0,502,93.565005,0.768917,561.4,281.084459,8,561.3900323,562.1689175,0.778885154,8,1,0.285714286,0.666666667,0.222222222,0.798069654,0.49863223,0.006163328,255.4803023
0x3831773bf3ba13dc00c615f6fdaa624bcd5419e7,1,0,0,0,23,1646665908,329351121.8,2,1,5,0,1,3,1.1792,1.1792,1.1792,0.22,0.3,0.236,6,1.1792,1.18,0.0008,2,4,2.5,0.142857143,0.714285714,0,0.054237265,3,0.395691912
0x3833552d7302457831246975baf0527b62cf54e9,1,90,7098,2197.25,1536,1641905271,410481647,1,4,4,0,4,3,0.107994,1.222513,0.674593,0.019799,1.059035,0.679239,8,2.69837092,2.71695592,0.018585,1,8,0.8,0.444444444,0.444444444,0.353485403,0.326913945,8,0.853900508
0x3836d55c9a79515615aa240c92f2958d7ab8bfb4,0,0,3482573,68931.60403,34,1651714591,275288333.2,119,149,6,0,45,2,0,1.5,0.19745,0,2,0.333333,155,29.42,2,-27.42,119,13,0.04,0.955128205,0.038461538,0.766058404,0.833333083,1.302521008,7.039995729
